Case_Name,Case_ID,Start_Year,Start_Month,Inspector_ID,Solved/Unsolved,Name,Rank,Police_Station_Name,Station_ID,Case_ID,Crime location
Murder,2022009,2023,6,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022009,"19.186159, 72.947734"
Robbery,2022035,2025,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022035,"19.045491, 72.745717"
Violence,2022045,2024,10,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022045,"18.947344, 72.830422"
Murder,2022092,2025,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022092,"19.174194, 73.018711"
Murder,2022101,2024,9,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022101,"19.115703, 72.746924"
Violence,2022110,2024,11,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022110,"18.991797, 72.780659"
Robbery,2022147,2023,4,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022147,"19.131139, 72.835229"
Robbery,2022176,2025,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022176,"19.283669, 72.779972"
Murder,2022177,2022,10,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022177,"19.029323, 72.998434"
Suicide,2022178,2023,12,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022178,"18.965551, 72.845247"
Rape,2022179,2022,12,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022179,"19.189501, 72.810961"
Rape,2022187,2025,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022187,"19.147759, 72.805876"
Robbery,2022197,2025,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022197,"19.026776, 72.965724"
Kidnapping,2022254,2023,3,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022254,"19.177301, 72.894331"
Drink and Drive,2022272,2023,5,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022272,"19.008971, 72.820282"
Kidnapping,2022320,2023,4,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022320,"19.102205, 72.788490"
Violence,2022345,2025,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022345,"18.979892, 72.791159"
Kidnapping,2022350,2023,6,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022350,"19.189851, 72.677434"
Violence,2022363,2024,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022363,"19.048169, 72.768569"
Suicide,2022430,2023,9,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022430,"19.069738, 72.720362"
Rape,2022446,2023,3,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022446,"19.086609, 72.723782"
Rape,2022482,2024,8,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022482,"19.113520, 72.955925"
Suicide,2022485,2025,1,1004,Solved,Vikram Singh,Inspector,Andheri West,PS002,2022485,"18.954167, 72.830711"
